System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
55 Cnc e,10.0,18.5,23.0,13.0,2,5,0.7365474,1.35e-06,0.01544,5e-05,1.875,0.029,0.02514,0.0010249999999999999,0.05,0.03,,,,,3.52,0.01,0.0182,0.0002,,5172.0,18.0,0.94,0.01,0.91,0.01,0.35,0.1,,,4.43,0.02,,,1.23,0.01,38.8,0.05
pi Men c,24.0,4.1,26.9,5.25,1,3,6.26791,0.00043,0.069,0.003,,,0.011,0.001,0.077,0.0625,,,,,,,,,,5998.0,62.0,,,1.1,0.14,,,,,,,,,,,,
AU Mic b,4.7,6.6,,,1,3,8.4629991,8.4629991,0.0645,0.0013,,,0.0633,0.005175,0.186,0.035500000000000004,,,,,,,,,,3540.0,115.0,,,0.5,0.03,,,,,,,,,,,,
CoRoT-1 b,77.0,11.0,,,1,1,1.5089557,6.4e-06,,,16.7,0.9,1.03,0.12,0.0,0.0,,,1898.0,50.0,4.92,0.08,0.1388,0.0021,G0 V,5950.0,150.0,1.11,0.05,0.95,0.15,-0.3,0.25,,,4.25,0.3,,,5.2,1.0,,
CoRoT-2 b,7.2,4.5,,,2,1,1.7429935,1e-06,0.02798,0.0007800000000000001,16.432,0.482,3.47,0.22,0.0143,0.0076500000000000005,,,,,,,,,,5625.0,120.0,0.91,0.03,0.96,0.08,,,,,,,2.7,2.95,10.87,0.32,,
CoRoT-3 b,37.6,16.15,,,1,1,4.2568,5e-06,,,11.32,0.78,21.66,1.0,0.0,0.0,,,,,7.8,0.4,0.0663,0.0009,F3 V,6740.0,140.0,1.56,0.09,1.37,0.09,,,,,4.22,0.07,2.2,0.6,17.0,1.0,,
CoRoT-11 b,0.1,2.6,,,1,1,2.99433,1.1e-05,0.0436,0.005,16.03,0.34,2.33,0.34,0.0,0.0,,,1657.0,55.0,6.89,0.08,0.107,0.0005,F6 V,6440.0,120.0,1.37,0.03,1.27,0.05,-0.03,0.08,,,4.22,0.23,2.0,1.0,40.0,5.0,,
CoRoT-18 b,10.0,20.0,20.0,20.0,1,1,1.9000693,2.8e-06,0.0295,0.0016,14.68,2.02,3.47,0.38,0.08,0.08,,,1550.0,90.0,6.35,0.4,0.1341,0.0019,G9 V,5440.0,100.0,1.0,0.13,0.95,0.15,-0.1,0.1,,,4.4,0.1,,,8.0,1.0,,
CoRoT-19 b,52.0,24.5,,,1,1,3.89713,2e-05,0.0518,0.0008,14.46,0.34,1.11,0.06,0.047,0.045,,,2000.0,150.0,6.7,0.1,0.0786,0.0004,F9 V,6090.0,70.0,1.65,0.04,1.21,0.05,-0.02,0.1,0.544,0.025,4.07,0.03,5.0,1.0,6.0,1.0,,
CoRoT-36 b,84.19999999999999,11.3,,,1,1,5.616531,2.3e-05,0.066,0.007,15.805,1.569,0.68,0.44999999999999996,0.0,0.0,,,1567.0,35.0,,,,,F3 V,6730.0,140.0,1.52,0.15000000000000002,1.32,0.09,-0.1,0.1,,,4.16,0.06,2.1,0.55,25.6,0.3,,
DS Tuc A b,2.93,0.875,,,2,1,8.138268,1.1e-05,,,5.7,0.17,,,0.0,0.0,,,850.0,850.0,20.35,0.49,0.05419,0.00024,G6 V,5428.0,80.0,0.96,0.03,1.01,0.06,0.0,0.0,-0.14,0.008,,,0.045,0.004,17.8,0.2,2.85,0.045
GJ 436 b,114.0,20.0,103.0,12.5,1,1,2.64388312,5.7e-07,0.0291,0.0015,4.17,0.168,0.07,0.007,0.13827,0.00018,,,,,13.73,0.445,0.0822,0.0010500000000000002,,3416.0,54.0,0.46,0.02,0.47,0.07,,,,,4.79,0.045,,,,,,
GJ 3470 b,101.0,21.5,97.0,13.5,1,1,3.3366496,3.6000000000000003e-06,0.0355,0.0019,4.57,0.18,0.04373,0.00472,,,,,593.5,96.5,13.98,0.24000000000000002,,,,3600.0,100.0,0.55,0.02,0.54,0.045,0.2,0.1,,,4.7,0.05,,,,,,
HAT-P-1 b,3.7,2.1,,,2,1,4.46529976,5.5e-07,0.05561,0.000825,14.785,0.213,0.525,0.019,,,,,1322.0,14.5,9.853,0.071,0.11802,0.00018,,5980.0,49.0,1.17,0.03,1.15,0.05,0.13,0.008,,,4.36,0.01,,,,,,
HAT-P-2 b,0.2,12.35,,,1,2,5.6335158,3.6e-06,0.06814,0.00051,,,8.62,0.17,0.5172,0.0019,,,,,,,,,F8,6290.0,60.0,1.39,0.09,1.33,0.03,0.18,0.18,0.53,0.08,,,1.44,0.47,,,,
HAT-P-3 b,21.2,8.7,,,2,1,2.8997,5.4e-05,,,10.536,0.785,0.65,0.11,0.0,0.0,,,,,10.05,0.5,,,,5185.0,80.0,0.87,0.06,1.06,0.28,0.27,0.27,,,4.56,0.03,,,,,,
HAT-P-4 b,4.9,11.9,,,2,1,3.056536,3.056536,0.04438,0.001155,14.28,0.611,0.671,0.0385,0.0,0.0,,,1686.0,28.0,6.04,0.105,0.082,0.00044,,5860.0,80.0,,,,,,,0.431,0.062,,,,,,,,
HAT-P-6 b,165.0,6.0,,,1,1,3.85298,5e-06,,,16.589,1.681,1.32,0.3,0.0,0.0,,,,,7.73,0.34,,,,6570.0,80.0,1.62,0.17,1.79,0.6,-0.13,0.13,,,4.22,0.03,,,,,,
HAT-P-7 b,139.7,8.75,115.0,17.5,2,1,2.20474,1.7e-05,,,16.926,2.354,1.84,0.53,0.0,0.0,,,,,4.13,0.15,,,,6389.0,17.0,2.0,0.28,1.56,0.68,0.26,0.26,,,4.07,0.06,,,,,,
HAT-P-8 b,17.0,10.35,,,3,1,3.07634,4e-06,,,15.693,1.457,1.28,0.27,0.0,0.0,,,,,6.13,0.29,,,,6200.0,80.0,1.57,0.15,1.27,0.41,0.01,0.01,,,4.15,0.03,,,,,,
HAT-P-9 b,16.0,8.0,,,1,1,3.92281072,1.02e-06,0.05287,0.00078,15.614,0.74,0.749,0.0635,0.084,0.0495,931.0,71.0,1540.0,31.0,8.5,0.345,0.10696,0.000865,,6350.0,150.0,1.34,0.065,1.28,0.06,0.12,0.2,0.418,0.0405,4.29,0.035,,,,,,
HAT-P-11 b,133.9,7.7,104.9,8.85,1,2,4.88780244,4.88780244,0.05254,0.00065,4.36,0.06,0.07362,0.00472,0.218,0.0325,,,,,,,,,,4780.0,50.0,0.68,0.01,0.81,0.025,0.31,0.05,,,,,6.5,5.0,1.5,1.5,29.2,29.2
HAT-P-12 b,54.0,27.0,,,1,1,3.2130598,2.1e-06,0.0384,0.0003,10.749,0.28,0.211,0.012,0.0,0.0,,,963.0,16.0,11.77,0.18,0.1406,0.0013,K4,4650.0,60.0,0.7,0.015,0.73,0.02,-0.29,0.05,-0.678,0.03,4.61,0.01,2.5,2.0,0.5,0.4,,
HAT-P-13 b,1.9,8.6,,,1,2,2.91625,1.5e-05,,,14.258,0.729,0.851,0.038,0.0133,0.0041,,,,,5.8928,0.25045,0.08389,0.00081,,5653.0,90.0,,,,,,,,,,,,,1.66,0.37,,
HAT-P-14 b,170.9,5.1,,,2,1,4.62767,5e-06,,,15.917,1.345,3.44,0.63,0.11,0.01,,,,,8.9,0.36,,,,6600.0,90.0,1.82,0.15,2.65,0.73,0.11,0.11,,,4.25,0.03,,,,,,
HAT-P-15 b,13.0,6.0,,,1,1,10.8635,2.7e-05,,,11.882,0.785,1.94,0.3,0.19,0.02,,,,,19.25,0.77,,,,5568.0,90.0,1.07,0.07,1.0,0.23,0.22,0.22,,,4.38,0.03,,,,,,
HAT-P-16 b,2.0,50.5,,,3,1,2.77596,3e-06,0.0413,0.0004,14.448,0.74,4.193,0.094,0.036,0.004,,,1626.0,40.0,7.17,0.28,0.1071,0.0014,F8,6158.0,80.0,1.24,0.05,1.22,0.04,0.17,0.08,0.294,0.0485,4.34,0.03,2.0,0.8,3.5,0.5,,
HAT-P-17 b,27.5,6.7,,,1,2,10.33852,9e-06,,,11.769,0.448,0.58,0.06,0.35,0.01,,,,,22.72,0.68,,,,5246.0,80.0,0.87,0.04,0.99,0.15,0.0,0.0,,,4.53,0.02,,,,,,
HAT-P-18 b,132.0,15.0,,,1,1,5.508023,6e-06,0.0559,0.0007,11.153,0.583,0.197,0.013,0.084,0.048,,,852.0,28.0,16.04,0.75,0.1365,0.0015,K2,4803.0,80.0,0.75,0.04,0.77,0.03,0.1,0.08,-0.569,0.065,4.57,0.04,12.4,5.4,0.5,0.5,,
HAT-P-20 b,8.0,6.9,36.0,11.0,1,1,2.875317,4e-06,0.0361,0.0005,9.718,0.37,7.246,0.187,0.015,0.005,,,970.0,23.0,11.17,0.29,0.1284,0.0016,K3,4595.0,80.0,0.69,0.02,0.76,0.03,0.35,0.08,-0.721,0.0455,4.63,0.02,6.7,4.75,2.1,0.5,,
HAT-P-21 b,0.7,12.5,,,1,1,4.12448,7e-06,,,12.442,1.793,4.87,1.57,0.23,0.02,,,,,9.65,0.74,,,,5588.0,80.0,1.21,0.17,1.24,0.6,0.01,0.01,,,4.33,0.06,,,,,,
HAT-P-22 b,2.1,3.0,24.0,18.0,2,1,3.21222,9e-06,,,12.89,2.13,2.47,0.32,0.02,0.01,,,,,8.58,0.39,,,,5302.0,80.0,1.11,0.05,1.13,0.22,0.24,0.24,,,4.36,0.04,,,,,,
HAT-P-23 b,15.0,22.0,,,1,1,1.212884,2e-06,0.0232,0.0002,15.334,1.009,2.09,0.111,0.106,0.044,,,2056.0,66.0,4.14,0.23,0.1169,0.0012,G0,5905.0,80.0,1.2,0.07,1.13,0.04,0.15,0.04,0.199,0.0635,4.33,0.05,4.0,1.0,8.1,0.5,,
HAT-P-24 b,20.0,16.0,,,2,1,3.35524,7e-06,,,14.572,2.354,0.75,0.25,0.07,0.02,,,,,7.61,0.41,,,,6373.0,80.0,1.38,0.22,1.37,0.69,-0.16,0.16,,,4.27,0.04,,,,,,
HAT-P-27 b,24.2,60.25,,,2,1,3.039577,5.5e-06,0.04,0.0008,11.43,0.7250000000000001,0.62,0.03,0.0,0.0,,,,,9.804,0.34,0.12,0.008,,5316.0,104.7,0.86,0.045,0.92,0.11,0.3,0.03,-0.269,0.013,4.53,0.07500000000000001,,,,,,
HAT-P-29 b,26.0,16.0,,,2,1,5.72319,4.9e-05,,,13.115,1.457,0.88,0.25,0.09,0.05,,,,,11.74,1.02,,,,6087.0,88.0,1.3,0.14,1.45,0.6,0.21,0.21,,,4.34,0.06,,,,,,
HAT-P-30 b,70.5,2.8499999999999996,,,2,1,2.8106,5e-06,,,16.141,1.681,0.83,0.18,0.04,0.02,,,,,7.43,0.34,,,,6304.0,88.0,1.31,0.13,1.55,0.51,0.13,0.13,,,4.36,0.3,,,,,,
HAT-P-32 b,85.0,1.5,,,2,1,2.1500082,1.3e-07,0.03397,0.000505,22.194,0.504,0.68,0.10500000000000001,0.159,0.0395,1841.0,34.5,1835.7,6.85,5.344,0.0395,0.14886,0.0005499999999999999,,6001.0,88.0,1.37,0.03,1.13,0.05,-0.16,0.08,0.338,0.0195,4.22,0.04,,,,,,
HAT-P-33 b,5.9,4.1,,,2,1,3.47447,1e-06,,,20.737,5.492,0.92,0.5,0.0,0.0,,,,,6.57,0.18,,,,6446.0,88.0,1.79,0.48,1.82,1.45,0.05,0.05,,,4.15,0.01,,,,,,
HAT-P-34 b,0.0,14.0,,,1,1,5.452654,1.6e-05,0.06774,0.00075,13.417,1.244,3.33,0.20500000000000002,0.432,0.028,,,,,,,,,,6442.0,88.0,1.53,0.12000000000000001,1.39,0.05,0.22,0.04,,,,,1.7,0.45,24.0,0.5,,
HAT-P-36 b,14.0,18.0,0.0,31.5,1,1,1.32734683,4.8e-07,0.0241,0.00047,14.314,0.224,1.8482,0.087,,,,,1780.97,18.8,4.95,0.042,0.1199,0.0002,,5620.0,40.0,1.04,0.01,1.03,0.03,,,,,,,,,,,,
HAT-P-41 b,22.1,3.4,,,2,1,2.69405,4e-06,,,22.978,5.604,1.19,0.6,0.0,0.0,,,,,5.45,0.18,,,,6390.0,100.0,2.05,0.5,2.56,1.9,0.21,0.21,,,4.14,0.02,,,,,,
HAT-P-49 b,97.7,1.8,,,1,1,2.69155,6e-06,,,17.822,2.018,2.2,0.59,0.0,0.0,,,,,5.15,0.31,,,,6820.0,52.0,2.06,0.23,2.22,0.83,0.07,0.07,,,4.1,0.04,,,,,,
HAT-P-56 b,8.0,2.0,,,1,1,2.79083,5e-06,,,16.926,1.233,2.31,0.44,,,,,,,6.37,0.11,,,,6566.0,50.0,1.47,0.11,1.42,0.33,0.0,0.0,,,3.39,0.19,,,,,,
HAT-P-67 b,2.2,0.4,,,2,1,4.8101025,3.8e-07,0.06505,0.0017599999999999998,23.371,0.936,0.34,0.22,0.0,0.0,,,1903.0,25.0,5.691,0.0905,0.0834,0.0017,,6406.0,63.0,2.55,0.09,1.64,0.11,-0.08,0.05,0.939,0.057,3.85,0.015,1.24,0.245,35.8,1.1,,
HAT-P-69 b,30.3,6.699999999999999,,,1,1,4.7869491,1.95e-06,0.06555,0.000525,18.786,0.471,3.58,0.58,0.0,0.0,,,1930.0,155.0,7.32,0.16999999999999998,0.08703,0.0007750000000000001,,7394.0,480.0,1.93,0.045,1.65,0.045,-0.069,0.0665,1.0,0.056499999999999995,4.11,0.045,1.27,0.36,77.44,0.56,,
HAT-P-70 b,107.9,1.85,,,1,1,2.74432452,7.35e-07,0.04739,0.000685,20.961,1.401,6.78,6.78,0.0,0.0,,,2562.0,47.5,5.45,0.39,0.09887,0.00114,,8450.0,615.0,1.86,0.105,1.89,0.01,-0.059,0.08149999999999999,1.223,0.13,4.18,0.06,0.6,0.29000000000000004,99.85,0.625,,
HATS-2 b,3.0,18.0,38.0,27.0,1,1,1.35413379,8e-08,0.02317,0.00044,12.576,0.269,1.37,0.16,,,,,1550.0,29.0,,,,,,5227.0,95.0,0.88,0.02,0.9,0.05,,,,,4.51,0.01,7.2,6.4,,,22.46,5.2
HATS-3 b,3.0,25.0,,,1,1,3.547851,5e-06,0.0485,0.0005,15.48,0.392,1.071,0.136,0.0,0.0,,,1648.0,24.0,7.42,0.12,0.1011,0.0006,F,6351.0,76.0,1.4,0.03,1.21,0.04,-0.157,0.07,0.456,0.032,4.22,0.01,3.2,0.5,9.12,1.31,,
HATS-14 b,76.0,4.5,,,1,1,2.7667641,2.7e-06,0.03815,0.00032,11.646,0.303,1.071,0.07,0.142,0.142,,,1276.0,20.0,8.8,0.16999999999999998,0.1145,0.0012,,5346.0,60.0,0.93,0.015,0.97,0.02,0.33,0.06,,,4.48,0.02,4.9,1.7,3.8,1.2,,
HATS-70 b,8.9,5.05,,,1,1,1.8882378,1.5e-06,0.03632,0.0008049999999999999,15.513,0.8574999999999999,12.9,1.7000000000000002,0.18,0.18,9110.0,170.0,2730.0,150.0,4.17,0.14500000000000002,0.074,0.0028,,7930.0,725.0,1.88,0.065,1.78,0.12,0.041,0.101,1.079,0.1545,4.17,0.04,0.81,0.41500000000000004,40.61,0.33499999999999996,,
HD 3167 b,6.6,7.25,29.5,8.3,1,4,0.959641,1.1e-05,0.01796,0.00034,1.67,0.135,0.01564,0.00074,0.0,0.0,1650.0,110.0,1774.0,29.0,,,,,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,,,7.8,4.3,,,,
HD 3167 c,108.9,5.45,107.7,5.0,1,4,29.8454,0.0012,0.1776,0.0034000000000000002,3.0,0.33,0.03502,0.0023899999999999998,0.06,0.06,16.9,1.1,564.0,9.0,,,,,,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,,,,,7.8,4.3,,,,
HD 17156 b,10.0,5.1,,,1,1,21.21663,0.00045,,,12.33,0.336,3.51,0.21,0.68,0.0,,,,,23.34,0.43,,,,6040.0,24.0,1.55,0.04,1.41,0.12,0.19,0.19,,,4.2,0.06,,,,,,
HD 63433 b,8.0,39.0,,,1,3,7.1079384,6.6e-06,0.072,0.001,2.164,0.053000000000000005,0.11736,0.0302,0.0,0.0,,,886.440730742,12.363256008699999,,,0.02163,0.00043,,5634.0,63.5,0.92,0.01,0.99,0.025,0.079,0.0535,-0.117,0.023,4.51,0.015,1.5,1.3,,,,
HD 80606 b,42.0,8.0,,,2,1,111.4367,0.0004,,,11.994,0.336,4.38,0.74,0.93,0.0,,,,,98.38,7.32,,,,5561.0,24.0,1.04,0.02,1.15,0.27,0.35,0.35,,,4.42,0.02,,,,,,
HD 106315 c,2.7,2.6500000000000004,,,1,2,21.05704,0.00046,0.1536,0.0017,4.35,0.23,0.04782,0.01164,0.22,0.15,,,886.0,20.0,25.5,1.2,0.03086,0.001,F5 V,6327.0,48.0,1.3,0.06,1.09,0.04,-0.311,0.079,,,4.25,0.04,4.48,0.96,12.71,0.4,,
HD 110067 c,6.0,25.0,,,3,6,13.673694,2.4e-05,0.1039,0.0013,2.388,0.036,0.01982,0.01982,,,,,699.0,9.0,28.37,0.3,0.0278,0.0003,K0.0 V,5266.0,64.0,0.79,0.01,0.8,0.04,-0.2,0.04,,,4.54,0.03,8.1,4.0,2.5,1.0,,
HD 149026 b,12.0,7.0,,,1,1,2.87589,2e-06,,,8.295,0.224,0.38,0.06,0.0,0.0,,,,,6.8,0.52,,,,6179.0,15.0,1.41,0.03,1.42,0.33,0.32,0.32,,,4.37,0.04,,,,,,
HD 189733 b,1.0,0.225,13.6,6.9,2,1,2.21857567,1.5e-07,,,12.666,0.112,1.13,0.08,0.0,0.0,,,,,8.84,0.27,,,,5052.0,16.0,0.75,0.01,0.79,0.08,-0.02,0.02,,,4.49,0.05,,,,,,
HD 209458 b,1.58,0.08,,,1,1,3.52474859,3.8e-07,,,15.581,0.224,0.73,0.04,0.0,0.0,,,,,8.81,0.19,,,,6091.0,10.0,1.19,0.02,1.23,0.09,0.01,0.01,,,4.45,0.02,,,,,,
HD 332231 b,2.0,6.0,,,1,1,18.712024,2.3e-05,0.145,0.003,9.073,0.181,0.23314,0.017305,0.0,0.0,,,798.303294664,13.621311811750001,,,0.0657,0.00053,,6128.0,83.5,1.27,0.02,1.16,0.03,0.043,0.062,0.308,0.025,4.3,0.02,2.9,0.8500000000000001,,,,
HIP 67522 b,5.8,4.25,20.2,9.5,1,2,6.9594731,2.2e-06,0.0748,0.0017000000000000001,9.987,0.22949999999999998,,,0.064,0.118,,,1175.0,12.5,11.66,0.255,0.06644,0.00145,,5675.0,75.0,1.38,0.06,1.22,0.05,,,0.243,0.0225,,,0.017,0.002,54.2,0.7,1.42,0.02
K2-25 b,3.0,16.0,17.0,9.5,1,1,3.48456408,5.5e-07,0.0287,0.0012,3.44,0.12,0.07709,0.017145,0.428,0.0495,9.91,0.905,494.0,11.0,21.09,0.58,0.1075,0.0018,M4.5 V,3207.0,58.0,0.29,0.01,0.26,0.01,0.15,0.03,-2.088,0.0155,4.94,0.03,0.73,0.051000000000000004,8.8,0.6,1.88,0.01
K2-29 b,1.5,8.7,,,2,1,3.2588321,1.9e-06,0.04217,0.00024,13.339,0.224,0.73,0.04,0.066,0.022,,,1171.0,10.0,10.51,0.15,0.14188,0.00062,G7 V,5358.0,38.0,0.86,0.01,0.94,0.02,0.16,0.03,,,4.54,0.01,2.6,1.2,3.7,0.5,10.79,0.02
K2-33 b,10.0,23.0,,,1,1,5.424865,3.3e-05,,,5.04,0.355,3.7,3.7,0.0,0.0,,,,,10.4,0.385,0.0432,0.0007999999999999999,M3.3,3540.0,70.0,1.05,0.07,0.56,0.09,,,-0.824,0.088,,,0.009,0.001,8.2,1.8,6.29,0.17
K2-34 b,1.0,9.5,,,1,1,2.9956348,2e-07,0.0442,0.002,13.75,0.585,,,,,,,1687.0,24.5,6.68,0.1,0.0887,0.0005,,6168.0,61.0,1.42,0.055,1.16,0.04,0.01,0.035,,,4.2,0.03,,,,,,
HIP 41378 d,57.0,22.0,,,1,5,1114.0,1114.0,,,,,,,,,,,,,,,0.0256,0.0006000000000000001,,6226.0,43.0,1.34,0.03,1.17,0.07,,,,,,,,,,,,
K2-105 b,81.0,48.5,,,1,1,8.2669928,6.8500000000000005e-06,0.0833,0.00775,3.59,0.09,,,,,,,928.0,12.0,18.48,1.71,0.0339,0.00075,,5636.0,50.5,0.97,0.01,1.05,0.02,0.23,0.035,,,4.49,0.01,,,,,,
K2-140 b,0.5,9.7,,,1,1,6.569188,3.1e-05,0.068,0.001,13.563,1.009,0.93,0.04,0.0,0.0,204.0,10.0,962.0,28.0,14.1,0.2,0.117,0.001,G6 V,5585.0,120.0,1.06,0.065,0.96,0.05,0.1,0.1,,,4.4,0.2,9.8,4.0,3.6,1.0,14.6,4.1
K2-232 b,11.1,6.6,,,1,1,11.168454,2.3e-05,0.10356,0.0007899999999999999,11.209,0.2355,0.398,0.037,0.258,0.025,,,1030.0,15.0,19.25,0.29000000000000004,0.08868,0.00043000000000000004,,6154.0,60.0,1.16,0.02,1.19,0.03,0.1,0.04,0.238,0.026500000000000003,4.38,0.02,1.43,0.7849999999999999,4.16,0.282,,
HD 89345 b,74.0,33.5,80.0,22.5,1,1,11.8143,0.0002,0.1066,0.0013,7.398,0.325,0.11,0.0175,0.22,0.1125,,,1089.0,15.5,13.11,0.37,0.0389,0.00115,,5576.0,74.5,1.75,0.05,1.16,0.04,0.421,0.05,0.425,0.025500000000000002,4.02,0.03,7.53,1.145,,,,
EPIC 246851721 b,1.48,0.85,3.4,2.55,2,1,6.180235,1.4e-05,0.07229,0.000745,11.781,0.493,3.0,1.15,,,642.0,29.5,1401.0,16.0,9.8,0.17,0.0681,0.00255,F5 V,6202.0,51.0,1.59,0.03,1.32,0.04,0.141,0.0835,0.526,0.0245,4.16,0.02,3.02,0.45,74.92,0.61,,
K2-290 b,173.0,49.0,,,3,2,9.21165,0.000335,0.0923,0.0066,3.06,0.16,0.0343,0.0343,0.0,0.0,,,1230.0,38.0,13.15,0.675,0.019,0.00028,,6302.0,120.0,1.51,0.07,1.19,0.07500000000000001,-0.06,0.1,,,4.23,0.1,4.0,1.2000000000000002,6.5,1.0,,
