System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
WASP-18 b,4.0,5.0,,,2,2,0.94145223,2.4e-07,0.02024,0.00030000000000000003,13.899,0.886,10.2,0.35,0.0051,0.005350000000000001,5805.0,723.5,2429.0,73.5,3.48,0.165,0.1018,0.0011,,6432.0,48.0,1.32,0.06,1.29,0.06,0.107,0.08,0.428,0.0435,4.31,0.035,1.57,1.17,,,,
WASP-19 b,1.9,1.1,,,1,1,0.78883852,7.85e-07,0.01652,0.00053,15.861,0.5155000000000001,1.154,0.079,0.0126,0.01145,3320.0,185.0,2113.0,29.0,3.533,0.05,0.1441,0.000495,,5616.0,65.5,1.01,0.03,0.96,0.095,0.04,0.275,-0.043,0.0335,4.42,0.02,6.4,3.8,,,,
WASP-20 b,12.7,4.2,,,2,1,4.8996284,3.3e-06,0.06,0.00069,16.388,0.661,0.311,0.017,0.0,0.0,,,1379.0,31.0,9.28,0.23,,,F9,5940.0,100.0,1.39,0.04,1.2,0.04,-0.008,0.06,,,4.23,0.02,7.0,1.5,4.75,0.51,,
WASP-21 b,8.0,26.5,,,1,1,4.322482,2.15e-05,0.052,0.00042500000000000003,11.99,0.56,0.3,0.011,0.0,0.0,,,,,,,,,G3 V,5924.0,55.0,,,,,,,,,,,,,1.5,0.6,,
WASP-22 b,22.0,16.0,,,1,1,3.53269,1e-05,,,13.787,1.569,0.67,0.19,0.02,0.01,,,,,8.94,0.85,,,,6000.0,100.0,1.24,0.13,1.46,0.63,-0.05,0.05,,,4.5,0.2,,,,,,
WASP-24 b,4.7,4.0,,,3,1,2.34121,2e-06,,,15.468,1.793,1.24,0.29,0.0,0.0,,,,,5.91,0.17,,,,6075.0,100.0,1.42,0.16,1.43,0.5,0.0,0.0,,,4.26,0.17,,,,,,
WASP-25 b,14.6,6.7,,,1,1,3.76483,5e-06,,,11.994,1.121,0.44,0.1,0.0,0.0,,,,,11.1,0.52,,,,5750.0,100.0,0.8,0.08,0.67,0.22,-0.05,0.05,,,4.5,0.15,,,,,,
WASP-26 b,34.0,31.0,,,2,1,2.7566,1e-05,,,13.563,1.681,0.85,0.23,0.0,0.0,,,,,6.43,0.31,,,,6034.0,31.0,1.22,0.15,0.86,0.34,0.16,0.16,,,4.44,0.06,,,,,,
WASP-28 b,8.0,18.0,,,1,1,3.40883495,1.5e-07,0.0442,0.001,13.664,0.314,0.889,0.058,0.0,0.0,,,1456.0,40.0,,,,,,6084.0,45.0,1.08,0.03,0.99,0.07,,,,,,,5.5,2.6,,,,
WASP-31 b,2.8,3.1,,,1,1,3.4059096,5e-06,0.04659,0.00035,17.363,0.56,0.478,0.029,0.0,0.0,,,,,,,,,,6302.0,102.0,1.25,0.03,1.16,0.03,,,,,,,,,7.9,0.6,,
WASP-32 b,10.5,6.45,,,1,1,2.71866,2e-06,,,10.761,1.681,2.63,0.82,0.0,0.0,,,,,7.72,0.25,,,,6140.0,95.0,0.95,0.15,0.72,0.34,-0.13,0.13,,,4.4,0.02,,,,,,
WASP-33 b,111.64,0.28,108.19,0.96,2,1,1.21987,1e-06,0.0239,0.00063,17.856,0.829,2.093,0.139,,,,,2781.7,41.1,3.571,0.01,0.1118,0.0002,,7430.0,100.0,1.44,0.03,1.5,0.03,,,,,,,,,,,,
WASP-38 b,7.5,5.4,,,1,1,6.87188,1e-05,,,13.787,0.673,3.44,0.36,0.03,0.0,,,,,12.11,0.27,,,,6180.0,50.0,1.52,0.07,1.76,0.28,-0.02,0.02,,,4.25,0.01,,,,,,
WASP-39 b,0.0,11.0,,,1,1,4.0552842,3.5e-06,,,,,,,0.0,0.0,,,,,11.39,0.012,,,,5485.0,50.0,,,,,,,,,,,,,,,,
WASP-41 b,6.0,11.0,,,1,2,3.0524,1e-06,,,12.33,0.56,0.85,0.11,0.0,0.0,,,,,9.96,0.42,,,,5545.0,33.0,0.83,0.04,0.81,0.15,0.06,0.06,,,4.53,0.05,,,,,,
WASP-43 b,3.5,6.8,0.0,10.0,1,1,0.813475,1e-06,0.0142,0.0004,10.424,0.897,1.78,0.1,0.0,0.0,,,,,,,,,,4400.0,200.0,0.6,0.035,0.58,0.05,,,,,,,,,4.0,0.4,,
WASP-47 b,,,29.0,12.0,1,4,4.159151,4e-07,,,12.86,0.1,1.17674,0.051915,0.0006,0.00035,,,,,,,,,,5576.0,67.0,1.16,0.01,1.06,0.05,,,,,,,,,,,,
WASP-49 b,54.0,68.5,,,2,1,2.78174,6e-06,,,12.442,1.233,0.37,0.08,0.0,0.0,,,,,8.37,0.37,,,,5600.0,150.0,0.97,0.09,0.92,0.3,-0.23,0.23,,,4.5,0.1,,,,,,
WASP-52 b,0.6,0.935,,,1,1,1.7497798,1.2e-06,0.0272,0.0003,14.24,0.34,0.46,0.02,0.0,0.0,,,1315.0,35.0,7.3801,0.10895,,,K2 V,5000.0,100.0,0.79,0.02,0.87,0.03,0.03,0.12,,,4.58,0.01,0.4,0.25,3.6,0.9,,
WASP-53 b,1.0,12.0,,,1,2,3.3098443,2e-06,0.04101,0.00087,12.038,0.415,2.132,0.093,0.03,0.03,,,1053.0,16.0,11.05,0.195,,,,4953.0,60.0,0.8,0.02,0.84,0.05,0.22,0.11,-0.463,0.028999999999999998,4.55,0.02,,,0.86,0.21,,
WASP-60 b,129.0,17.0,,,1,1,4.305,6e-06,,,9.864,1.345,0.55,0.19,0.0,0.0,,,,,10.04,1.16,,,,5900.0,100.0,1.17,0.15,1.19,0.61,-0.04,0.04,,,4.2,0.1,,,,,,
WASP-61 b,4.0,17.75,,,1,1,3.8559,3e-06,,,15.805,2.466,2.68,0.84,0.0,0.0,,,,,8.15,0.24,,,,6250.0,150.0,1.55,0.24,1.82,0.85,-0.1,0.1,,,4.26,0.01,,,,,,
WASP-62 b,19.4,5.0,,,1,1,4.41195,3e-06,,,14.796,0.897,0.52,0.08,0.0,0.0,,,,,9.55,0.41,,,,6230.0,80.0,1.23,0.08,1.11,0.25,0.04,0.04,,,4.45,0.1,,,,,,
WASP-66 b,4.0,22.0,,,1,1,4.08605,7e-06,,,15.693,3.139,2.35,0.98,0.0,0.0,,,,,6.73,0.37,,,,6600.0,150.0,1.76,0.35,1.33,0.83,-0.31,0.31,,,4.3,0.2,,,,,,
WASP-69 b,0.4,1.95,,,1,1,3.86814,2e-06,,,12.442,0.448,0.29,0.03,0.0,0.0,,,,,12.0,0.46,,,,4700.0,50.0,0.86,0.03,0.98,0.14,0.15,0.15,,,4.5,0.15,,,,,,
WASP-71 b,1.9,7.3,,,1,1,2.90367,7e-06,,,13.227,1.345,1.39,0.33,0.0,0.0,,,,,4.3,0.27,,,,6050.0,100.0,1.82,0.19,0.76,0.27,0.15,0.15,,,3.9,0.05,,,,,,
WASP-72 b,7.0,11.5,,,1,1,2.21673,2e-06,,,14.46,2.018,2.3,0.7,0.0,0.0,,,,,4.61,0.35,,,,6250.0,100.0,2.18,0.29,2.78,1.28,-0.06,0.06,,,4.09,0.05,,,,,,
WASP-74 b,0.77,0.99,,,1,1,2.13775,1e-06,,,15.244,1.121,0.72,0.12,0.0,0.0,,,,,4.86,0.2,,,,5990.0,110.0,1.42,0.1,0.98,0.24,0.39,0.39,,,4.39,0.07,,,,,,
WASP-76 b,61.3,6.35,,,2,1,1.80988198,6e-07,0.033,0.0002,20.781,0.8574999999999999,0.894,0.0135,0.0,0.0,4104.0,896.0,2228.0,122.0,4.08,0.04,0.10852,0.00084,F7,6329.0,65.0,1.76,0.07,1.46,0.02,0.366,0.053,,,4.2,0.11,1.816,0.274,1.48,0.28,,
WASP-77 A b,8.0,18.5,,,2,1,1.36002854,6.2e-07,0.02335,0.00043999999999999996,13.787,0.33599999999999997,1.667,0.066,0.0074,0.0059,1440.0,85.0,1715.0,25.5,5.332,0.069,0.13354,0.0007199999999999999,,5617.0,72.0,0.91,0.025,0.9,0.065,-0.1,0.10500000000000001,-0.129,0.035500000000000004,4.48,0.01,6.2,3.75,,,,
WASP-78 b,6.4,5.9,,,1,1,2.17518,5e-06,,,21.633,5.044,1.11,0.54,0.0,0.0,,,,,3.54,0.21,,,,6100.0,150.0,2.46,0.58,1.87,1.36,-0.35,0.35,,,4.1,0.2,,,,,,
WASP-79 b,99.1,4.0,,,1,1,3.662392,4e-06,0.0519,0.0008,17.15,0.448,0.85,0.08,0.0,0.0,,,1716.2,25.1,7.407,0.109,0.1044,0.00048,F5,6600.0,100.0,1.51,0.035,1.39,0.06,0.03,0.1,,,4.2,0.15,,,,,,
WASP-80 b,14.0,14.0,,,1,1,3.06785234,8.1e-07,0.0344,0.0010500000000000002,11.198,0.3415,0.538,0.035500000000000004,0.002,0.006,,,825.0,19.0,12.63,0.10500000000000001,0.17137,0.00038,,4143.0,93.0,0.59,0.02,0.58,0.05,-0.13,0.16,,,4.66,0.015,,,1.27,0.15500000000000003,,
WASP-84 b,0.3,1.7,17.3,7.7,1,2,8.52349648,6e-07,0.0778,0.0021,10.72,0.27,0.692,0.058,,,,,732.0,12.0,21.78,0.20500000000000002,0.12793,0.00058,K0,5280.0,80.0,0.77,0.02,0.85,0.04,,,,,,,,,,,,
WASP-87 b,8.0,11.0,,,2,1,1.682795,1.9e-06,0.02946,0.00075,15.524,0.673,2.18,0.15,0.0,0.0,,,,,,,,,,6450.0,120.0,1.63,0.06,1.2,0.09,,,,,,,,,9.9,0.6,,
WASP-94 A b,123.0,3.0,,,2,2,3.95019,4e-06,,,17.71,1.457,0.5,0.13,0.0,0.0,,,,,8.44,0.84,,,,6170.0,80.0,1.48,0.12,1.67,0.64,0.26,0.26,,,4.27,0.07,,,,,,
WASP-100 b,79.0,14.5,,,2,1,2.84938,8e-06,,,14.908,1.569,1.26,0.45,0.0,0.0,,,,,4.93,0.75,,,,6900.0,120.0,1.57,0.16,0.77,0.42,-0.03,0.03,,,4.35,0.17,,,,,,
WASP-101 b,34.0,3.0,,,1,1,3.58572,4e-06,,,16.029,1.009,0.51,0.08,0.0,0.0,,,,,8.45,0.3,,,,6380.0,120.0,1.31,0.08,1.41,0.3,0.2,0.2,,,4.31,0.08,,,,,,
WASP-103 b,2.0,35.5,,,1,1,0.925542,1.9e-05,0.01985,0.00021,17.127,0.6725,1.49,0.088,,,,,2508.0,72.5,2.978,0.07300000000000001,0.1093,0.0018,F8 V,6110.0,160.0,1.44,0.04,1.22,0.04,0.06,0.13,0.413,0.059,4.22,0.08499999999999999,4.0,1.0,10.6,0.9,,
WASP-105 b,14.0,26.0,,,1,1,7.87288,1e-05,0.075,0.003,10.761,0.336,1.8,0.1,0.0,0.0,,,900.0,20.0,17.9,0.2,,,K2,5070.0,130.0,0.9,0.03,0.89,0.09,0.28,0.16,,,4.2,0.2,,,1.7,1.9,,
WASP-106 b,1.0,11.0,,,1,1,9.28971,1e-05,,,11.433,3.363,1.62,0.94,0.0,0.0,,,,,13.79,0.44,,,,6055.0,136.0,1.31,0.38,0.93,0.8,-0.09,0.09,,,4.23,0.02,,,,,,
WASP-107 b,158.0,17.0,103.5,1.795,1,2,5.7214742,5.7214742,,,,,0.096,0.005,0.06,0.04,,,,,,,,,,4425.0,70.0,0.67,0.02,0.68,0.02,0.02,0.09,-0.879,0.01,4.63,0.01,3.4,0.7,,,17.0,1.0
WASP-117 b,46.9,5.15,,,1,1,10.02165,0.00055,,,11.882,0.785,0.3,0.05,0.3,0.02,,,,,17.43,0.98,,,,6040.0,90.0,1.22,0.06,1.29,0.3,-0.11,0.11,,,4.28,0.16,,,,,,
WASP-120 b,2.0,4.0,,,1,1,3.6112706,4.3e-06,0.0514,0.0007,16.511,1.076,4.85,0.21,0.057,0.019999999999999997,,,1880.0,70.0,5.9,0.33,,,F5,6450.0,120.0,1.87,0.11,1.39,0.06,-0.05,0.07,,,4.04,0.05,2.6,0.5,15.1,1.2,,
WASP-121 b,87.2,0.43,88.1,0.25,1,1,1.27492504,1.45e-07,0.02596,0.00053,19.649,0.404,1.157,0.07,0.0,0.0,,,,,3.8131,0.00675,0.12355,0.00031,,6586.0,59.0,1.46,0.03,1.36,0.07500000000000001,,,,,,,,,,,1.13,1.13
WASP-127 b,128.4,5.55,,,2,1,4.17806203,7.05e-07,0.0484,0.001155,14.695,0.3025,0.1647,0.019299999999999998,0.0,0.0,,,,,7.81,0.1,0.10103,0.000365,,5750.0,100.0,1.33,0.03,0.95,0.02,,,,,,,,,,,,
WASP-131 b,162.4,1.25,123.7,10.4,1,1,5.322023,5e-06,0.0607,0.0009,13.675,0.56,0.27,0.02,0.0,0.0,,,1460.0,30.0,,,,,G0,6030.0,90.0,1.53,0.05,1.06,0.06,-0.18,0.08,,,4.09,0.03,4.5,3.5,3.0,0.9,,
WASP-148 b,8.2,9.2,,,1,2,8.803809,4.3e-05,0.08215,0.00118,8.474,0.16849999999999998,0.287,0.019,0.208,0.0225,,,,,19.33,0.41500000000000004,0.08498,0.00072,,5555.0,90.0,0.91,0.01,0.95,0.04,0.099,0.078,-0.139,0.0215,4.5,0.025,3.6,3.35,,,,
WASP-156 b,106.0,14.0,,,1,1,3.8361623,1.5e-06,0.0458,0.0008500000000000001,6.028,0.124,0.13152,0.00912,0.0,0.0,,,934.498327568,13.996633986900001,,,0.06684,0.00079,,4987.0,56.5,0.83,0.01,0.87,0.03,0.305,0.058499999999999996,-0.418,0.023,4.54,0.02,5.6,3.55,,,,
WASP-166 b,0.7,0.6,0.0,28.0,1,1,5.44354,4e-06,0.0641,0.0011,7.062,0.336,0.101,0.005,0.0,0.0,440.0,40.0,1270.0,30.0,11.3,0.6,,,F9 V,6050.0,50.0,1.22,0.06,1.19,0.06,0.19,0.05,,,4.34,0.05,2.1,0.9,5.1,0.3,12.1,0.9
WASP-167 b,165.0,5.0,,,1,1,2.0219596,6e-07,0.0365,0.0006,17.71,0.56,8.0,8.0,,,,,2329.0,64.0,,,,,F1 V,7000.0,250.0,1.79,0.05,1.59,0.08,0.1,0.1,,,4.13,0.02,1.29,0.315,49.94,0.04,1.81,1.81
WASP-174 b,31.0,1.0,,,1,1,4.2337005,1.8e-06,0.05503,0.00056,16.107,0.56,0.33,0.091,0.0,0.0,901.9,39.45,1528.0,17.0,8.789,0.088,0.1098,0.003,,6399.0,68.0,1.35,0.02,1.24,0.04,0.06,0.06,0.436,0.025500000000000002,4.27,0.01,2.2,0.52,16.24,0.53,,
WASP-180 A b,157.0,2.0,,,2,1,3.409264,1e-06,0.048,0.001,13.899,0.448,0.9,0.1,0.0,0.0,,,1540.0,40.0,,,,,F7 V,6600.0,200.0,1.19,0.06,1.3,0.1,0.1,0.2,,,4.42,0.01,1.2,1.0,19.9,0.6,3.3,3.3
WASP-190 b,21.0,6.0,,,1,1,5.367753,4e-06,0.0663,0.0008,12.89,1.009,1.0,0.1,0.0,0.0,,,1500.0,50.0,,,,,F6 IV-V,6400.0,100.0,1.6,0.1,1.35,0.05,-0.02,0.05,,,4.17,0.04,,,13.3,0.6,,
XO-2 N b,7.0,11.0,27.0,19.5,2,3,2.61586178,2.61586178,0.0368,0.0368,11.131,0.135,0.566,0.025,,,,,,,7.986,0.0735,0.10304,0.00037,,5332.0,57.0,0.99,0.01,0.97,0.97,,,,,4.43,0.01,,,,,,
XO-3 b,37.3,3.0,,,1,1,3.19154,0.00014,,,15.805,1.345,7.29,1.19,0.29,0.0,,,,,4.95,0.18,,,,6429.0,50.0,1.54,0.11,0.58,0.14,-0.18,0.18,,,3.95,0.06,,,,,,
XO-4 b,46.7,7.1,,,1,1,4.12508,4e-06,,,14.011,0.897,1.42,0.19,0.0,0.0,,,,,7.68,0.11,,,,6397.0,70.0,1.45,0.09,1.1,0.22,-0.04,0.04,,,4.18,0.03,,,,,,
XO-6 b,20.7,2.3,,,1,1,3.7650007,8.1e-06,0.0815,0.0077,23.203,2.466,4.4,4.4,0.0,0.0,,,1577.0,28.0,9.08,0.17,0.11,0.006,F5,6720.0,100.0,1.93,0.18,1.47,0.06,-0.07,0.1,,,4.04,0.1,1.88,0.55,48.0,3.0,,
GPX-1 b,6.8,1.7,,,1,1,1.744579,8e-06,0.0338,0.0003,16.477,1.121,19.7,1.6,0.0,0.0,4650.0,370.0,2300.0,48.0,4.67,0.43500000000000005,0.095,0.002,F2,7000.0,200.0,1.56,0.1,1.68,0.1,0.35,0.1,0.727,0.0325,4.27,0.05,0.27,0.12,40.0,10.0,,
HATS-38 b,108.0,13.5,,,1,1,4.375021,1e-05,0.05036,0.000265,6.882,0.191,0.074,0.011,0.0,0.0,464.7,15.0,1294.0,10.0,9.81,0.14,0.057,0.0012,,5732.0,25.0,1.1,0.02,0.89,0.015,-0.102,0.043,0.072,0.0135,4.3,0.01,11.89,0.6,3.1,0.27,,
HD 118203 b,12.0,9.0,0.0,16.75,1,2,6.134989,1.3e-06,0.0701,0.0004,12.554,1.009,2.182,0.033,0.301,0.006,,,1371.0,16.5,7.46,0.125,0.05541,0.00021,K0 IV,5788.0,51.0,2.03,0.16,1.22,0.02,0.22,0.02,0.7,0.08,3.99,0.12,5.25,0.35,3.23,0.77,32.0,8.0
HD 191939 b,3.7,5.0,,,1,6,8.8803256,4.7e-06,0.0804,0.0024000000000000002,3.41,0.075,0.03146,0.0022,0.031,0.010499999999999999,100.0,7.0,880.0,20.0,18.36,0.41500000000000004,0.03319,0.000245,G9 V,5348.0,100.0,0.94,0.02,0.81,0.04,-0.15,0.06,-0.187,0.0135,4.3,0.1,8.7,8.7,2.0,2.0,,
K2-139 b,17.0,7.0,,,1,1,28.380619,0.0005395,0.1796,0.0015,9.11,0.17,,,,,,,524.0,8.0,47.25,1.355,0.0951,0.0009499999999999999,,5370.0,68.0,0.88,0.01,0.96,0.02,0.24,0.05,,,4.54,0.02,,,,,,
K2-329 b,24.0,11.0,,,1,1,12.4551225,3.1e-06,0.1016,0.00185,8.676,0.28,0.26,0.020999999999999998,0.0697,0.0405,45.7,1.9000000000000001,650.0,61.5,26.62,0.535,0.09679,0.000565,,5282.0,39.5,0.82,0.025,0.9,0.05,0.098,0.0675,-0.325,0.028,4.57,0.015,1.8,1.75,1.9,0.5,,
KELT-18 b,94.8,0.7,91.7,2.0,2,1,2.8717518,2.8e-06,0.0455,0.00068,17.598,0.4375,1.18,0.11,0.0,0.0,3152.0,231.0,2085.0,38.5,5.138,0.057999999999999996,0.08462,0.00091,F4 V,6670.0,120.0,1.91,0.04,1.52,0.07,0.09,0.13,0.813,0.041,4.06,0.01,1.9,0.2,12.3,0.3,,
KELT-24 b,1.4,4.800000000000001,,,2,1,5.55149296,5.149999999999999e-07,0.0665,0.0011,12.711,0.297,4.59,0.18,0.0319,0.0076500000000000005,624.0,40.0,1391.0,22.5,10.67,0.155,0.08702,0.000105,,6426.0,92.0,1.34,0.03,1.27,0.06,0.138,0.08399999999999999,0.439,0.035,4.29,0.01,1.98,0.87,19.74,0.14,,
NGTS-2 b,11.3,4.8,,,1,1,4.511164,6.1e-05,0.063,0.0027,17.878,0.5155000000000001,0.74,0.125,0.0,0.0,,,1468.0,43.5,,,0.09619,0.00101,F5 V,6478.0,91.5,1.7,0.045,1.64,0.20500000000000002,-0.06,0.09,,,4.2,0.045,2.17,0.37,15.2,0.8,,
TOI-559 b,10.0,13.0,,,1,1,6.9839095,5.1e-06,0.0723,0.0013,12.229,0.29700000000000004,6.01,0.235,0.151,0.0115,,,1180.0,17.0,12.61,0.30000000000000004,0.09097,0.00053,G V,5925.0,80.5,1.23,0.03,1.03,0.06,-0.069,0.07200000000000001,0.227,0.019999999999999997,4.27,0.025,6.8,2.25,4.08,0.5,,
TOI-677 b,0.0,1.0,,,1,1,11.2366,0.00011,0.1038,0.0017,13.115,0.336,1.236,0.068,0.435,0.024,,,1252.0,21.0,,,0.0942,0.0010999999999999998,F8,6295.0,77.0,1.28,0.03,1.18,0.06,0.0,0.05,,,4.29,0.03,2.92,0.765,7.8,0.19,,
TOI-942 c,24.0,14.0,0.0,21.5,3,2,10.156272,3.5499999999999996e-05,0.08598,0.000245,4.67,0.32,,,0.32,0.195,,,,,,,0.0479,0.0015,,4928.0,105.0,0.89,0.055,0.82,0.01,,,,,,,0.053,0.0215,14.24,0.52,,
TOI-1518 b,117.24,0.665,,,1,1,1.902603,1.1e-05,0.0389,0.0011,21.017,0.594,2.3,2.3,0.01,0.01,,,2492.0,38.0,4.291,0.059,0.0988,0.00135,F0,7300.0,100.0,1.95,0.05,1.79,0.26,-0.1,0.12,,,4.1,0.2,,,85.1,6.3,,
TOI-1859 b,38.9,2.75,,,1,1,63.48347,0.0001,0.337,0.039999999999999994,9.752,0.785,,,0.57,0.14,,,,,53.7,4.35,0.066,0.00045,,6341.0,69.0,1.36,0.11,1.29,0.06,0.12,0.055,,,4.29,0.07,1.41,1.165,12.49,0.33,,
TOI-2025 b,10.0,8.5,,,1,1,8.8720982,7.7e-06,0.0892,0.0020499999999999997,11.893,0.3585,3.6,0.33,0.394,0.036500000000000005,,,1166.0,17.0,13.12,0.48,0.07469,0.00047999999999999996,,5977.0,78.5,1.46,0.04,1.2,0.08,0.15,0.10500000000000001,0.387,0.0205,4.19,0.04,4.5,1.9,,,,
TOI-2524 b,10.0,20.5,,,1,1,7.18585,1e-05,0.073,0.0007,11.209,0.28,0.64,0.04,0.0,0.0,,,1100.0,20.0,14.3,0.25,0.092,0.001,,5831.0,80.0,1.12,0.02,1.01,0.03,0.06,0.05,0.116,0.0235,4.34,0.03,6.7,1.65,2.2,0.5,,
WASP-85 A b,16.2,2.9,,,2,1,2.6556777,4.4e-07,0.039,0.001,13.899,0.336,1.265,0.065,0.0,0.0,,,1452.0,6.0,,,,,G5 V,6112.0,27.0,0.94,0.02,1.09,0.08,,,,,,,,,,,15.1,0.6
KELT-14 b,0.09,0.89,,,1,1,1.7100566,2.9e-06,0.03005,0.00031,19.537,0.527,1.284,0.032,0.0,0.0,,,1970.0,50.0,4.248,0.072,,,G4,5720.0,130.0,1.52,0.03,1.24,0.04,0.32,0.09,,,4.17,0.02,5.11,0.8,3.3,0.8,,
WASP-130 b,1.0,2.0,,,1,1,11.55098,1e-05,0.1012,0.0014,9.976,0.336,1.23,0.04,0.0,0.0,,,833.0,18.0,,,,,G6,5625.0,90.0,0.96,0.03,1.04,0.04,0.26,0.1,,,4.49,0.02,2.0,2.0,0.5,0.5,,
WASP-139 b,85.6,5.95,,,2,1,5.924262,4e-06,0.062,0.002,8.967,0.56,0.117,0.017,0.0,0.0,,,910.0,30.0,,,,,K0,5310.0,90.0,0.8,0.04,0.92,0.1,0.2,0.09,,,4.59,0.06,0.5,0.5,4.2,1.1,,
WASP-178 b,105.7,3.9000000000000004,,,1,1,3.3448285,1.2e-06,0.0558,0.001,20.288,1.009,1.66,0.12,0.0,0.0,,,2470.0,60.0,7.17,0.21,,,A1 IV-V,9360.0,150.0,1.67,0.07,2.07,0.11,0.21,0.16,,,4.31,0.04,,,8.2,0.6,,
WASP-189 b,90.07,0.24,,,1,1,2.724033,2.724033,0.05053,0.00098,18.147,0.235,1.99,0.15000000000000002,0.0,0.0,,,3353.0,30.5,4.6,0.028,0.07045,0.00014,,8000.0,80.0,2.36,0.03,2.03,0.07,0.29,0.13,,,3.9,0.2,0.73,0.13,93.1,1.7,,
