sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,pl_ratmom,pl_ratmom_err
2,5,0.7365474,1.35e-06,0.01544,5e-05,1.875,0.029,0.02514,0.0010249999999999999,0.05,0.03,3.52,0.01,0.0182,0.0002,5172.0,18.0,0.94,0.01,0.91,0.01,0.35,0.1,4.43,0.02,2.4,0.8,1.23,0.01,2.6376311471334093e-05,1.1137827006683365e-06
1,3,6.26791,0.00043,0.069,0.003,1.4302002591893905,0.13001820538085368,0.011,0.001,0.077,0.0625,13.185938502451041,1.0521802180809432,0.011652301919137454,0.001315288675236142,5998.0,62.0,1.1252464072947492,0.0752905286492748,1.1,0.14,0.05,0.08,4.2423886043991414,0.7834794550846913,2.4,0.8,7.5,0.6,9.547511312217193e-06,1.4932872326992956e-06
1,3,8.4629991,8.4629991,0.0645,0.0013,4.184741715165348,0.3421175098891102,0.0633,0.005175,0.186,0.035500000000000004,20.780722007994004,1.5449951924597862,0.057480759467956645,0.006245324103294677,3540.0,115.0,0.6674345312870802,0.04776392286415774,0.5,0.03,0.05,0.08,4.944597952309479,0.7673741057650469,2.4,0.8,7.5,0.6,0.00012087149321266968,1.2257372862615046e-05
1,1,1.5089557,6.4e-06,0.025312207374215155,0.001332221442670718,16.7,0.9,1.03,0.12,0.0,0.0,4.92,0.08,0.1388,0.0021,5950.0,150.0,1.11,0.05,0.95,0.15,-0.3,0.25,4.25,0.3,2.4,0.8,5.2,1.0,0.001035151226482496,0.0002031222286472253
2,1,1.7429935,1e-06,0.02798,0.0007800000000000001,16.432,0.482,3.47,0.22,0.0143,0.0076500000000000005,6.611742146024164,0.2854523832458576,0.1655432760426292,0.007305037941994289,5625.0,120.0,0.91,0.03,0.96,0.08,0.05,0.08,4.607892591982051,0.48964676304403043,2.7,2.95,10.87,0.32,0.0034510275263951737,0.0003613553360927211
1,1,4.2568,5e-06,0.05709527614754229,0.0012502615222784214,11.32,0.78,21.66,1.0,0.0,0.0,7.8,0.4,0.0663,0.0009,6740.0,140.0,1.56,0.09,1.37,0.09,0.05,0.08,4.22,0.07,2.2,0.6,17.0,1.0,0.015094824454206162,0.0012120228377921287
1,1,2.99433,1.1e-05,0.0436,0.005,16.03,0.34,2.33,0.34,0.0,0.0,6.89,0.08,0.107,0.0005,6440.0,120.0,1.37,0.03,1.27,0.05,-0.03,0.08,4.22,0.23,2.0,1.0,40.0,5.0,0.0017516300281469343,0.00026474224051691963
1,1,1.9000693,2.8e-06,0.0295,0.0016,14.68,2.02,3.47,0.38,0.08,0.08,6.35,0.4,0.1341,0.0019,5440.0,100.0,1.0,0.13,0.95,0.15,-0.1,0.1,4.4,0.1,2.4,0.8,8.0,1.0,0.0034873541319361758,0.0006701094745584737
1,1,3.89713,2e-05,0.0518,0.0008,14.46,0.34,1.11,0.06,0.047,0.045,6.7,0.1,0.0786,0.0004,6090.0,70.0,1.65,0.04,1.21,0.05,-0.02,0.1,4.07,0.03,5.0,1.0,6.0,1.0,0.0008758460790546353,5.95921346884404e-05
1,1,5.616531,2.3e-05,0.066,0.007,15.805,1.569,0.68,0.44999999999999996,0.0,0.0,9.33705544585915,1.352662724240377,0.09532645082953178,0.013343516988002246,6730.0,140.0,1.52,0.15000000000000002,1.32,0.09,-0.1,0.1,4.16,0.06,2.1,0.55,25.6,0.3,0.0004918414918414918,0.0003272063222213429
2,1,8.138268,1.1e-05,0.079451043892775,0.0015732879995056528,5.7,0.17,0.09980554030183564,0.0029766564651424665,0.0,0.0,20.35,0.49,0.05419,0.00024,5428.0,80.0,0.96,0.03,1.01,0.06,0.0,0.0,4.522965362823153,0.3900075107826231,0.045,0.004,17.8,0.2,9.434599257957672e-05,6.271397658521557e-06
1,1,2.64388312,5.7e-07,0.0291,0.0015,4.17,0.168,0.07,0.007,0.13827,0.00018,13.73,0.445,0.0822,0.0010500000000000002,3416.0,54.0,0.46,0.02,0.47,0.07,0.05,0.08,4.79,0.045,2.4,0.8,7.5,0.6,0.00014219697699046886,2.5509195539340453e-05
1,1,3.3366496,3.6000000000000003e-06,0.0355,0.0019,4.57,0.18,0.04373,0.00472,0.010685061461662216,0.010685061461662216,13.98,0.24000000000000002,0.07617562428946645,0.004083520881648986,3600.0,100.0,0.55,0.02,0.54,0.045,0.2,0.1,4.7,0.05,2.4,0.8,7.5,0.6,7.731716105245516e-05,1.0543073306912441e-05
2,1,4.46529976,5.5e-07,0.05561,0.000825,14.785,0.213,0.525,0.019,0.010685061461662216,0.010685061461662216,9.853,0.071,0.11802,0.00018,5980.0,49.0,1.17,0.03,1.15,0.05,0.13,0.008,4.36,0.01,2.4,0.8,7.5,0.6,0.00043586464686208934,2.465665055294373e-05
1,2,5.6335158,3.6e-06,0.06814,0.00051,11.567635217273558,0.22813201704599828,8.62,0.17,0.5172,0.0019,10.54136664794943,0.6870795086118023,0.07629433572497321,0.0051639883089415655,6290.0,60.0,1.39,0.09,1.33,0.03,0.18,0.18,3.9022441466818854,0.512935248237534,1.44,0.47,7.5,0.6,0.00618793590310618,0.00018540396381327209
2,1,2.8997,5.4e-05,0.040579668253708095,0.003573052586158797,10.536,0.785,0.65,0.11,0.0,0.0,10.05,0.5,0.11102454982082051,0.011271837758835942,5185.0,80.0,0.87,0.06,1.06,0.28,0.27,0.27,4.56,0.03,2.4,0.8,7.5,0.6,0.0005854605993340733,0.0001836656004940048
2,1,3.056536,3.056536,0.04438,0.001155,14.28,0.611,0.671,0.0385,0.0,0.0,6.04,0.105,0.082,0.00044,5860.0,80.0,1.0155979202772965,0.05545927209705373,1.0209886723012254,0.12466894610363395,0.05,0.08,4.415065877551081,0.7232872427387436,2.4,0.8,7.5,0.6,0.0006274682828809726,8.465481010674259e-05
1,1,3.85298,5e-06,0.058405445138393484,0.006525748060351314,16.589,1.681,1.32,0.3,0.0,0.0,7.73,0.34,0.09387883772805433,0.013694814088373962,6570.0,80.0,1.62,0.17,1.79,0.6,-0.13,0.13,4.22,0.03,2.4,0.8,7.5,0.6,0.0007040622867109887,0.00028513126307430235
2,1,2.20474,1.7e-05,0.03845188297488534,0.005587025734890029,16.926,2.354,1.84,0.53,0.0,0.0,4.13,0.15,0.07758662354463129,0.015310757929709939,6389.0,17.0,2.0,0.28,1.56,0.68,0.26,0.26,4.07,0.06,2.4,0.8,7.5,0.6,0.0011261167188769,0.0005883629770646164
3,1,3.07634,4e-06,0.044832740485505465,0.004824520629830338,15.693,1.457,1.28,0.27,0.0,0.0,6.13,0.29,0.09163657188058767,0.012208026588870272,6200.0,80.0,1.57,0.15,1.27,0.41,0.01,0.01,4.15,0.03,2.4,0.8,7.5,0.6,0.0009622688566644103,0.000371087649826389
1,1,3.92281072,1.02e-06,0.05287,0.00078,15.614,0.74,0.749,0.0635,0.084,0.0495,8.5,0.345,0.10696,0.000865,6350.0,150.0,1.34,0.065,1.28,0.06,0.12,0.2,4.29,0.035,2.4,0.8,7.5,0.6,0.0005586785916289592,5.412227286534554e-05
1,2,4.88780244,4.88780244,0.05254,0.00065,4.36,0.06,0.07362,0.00472,0.218,0.0325,16.61463274399885,0.3192940115533822,0.058781422012530754,0.0011838890308182937,4780.0,50.0,0.68,0.01,0.81,0.025,0.31,0.05,5.1168099805026195,0.21814963482556415,6.5,5.0,1.5,1.5,8.677626948215184e-05,6.174591717984008e-06
1,1,3.2130598,2.1e-06,0.0384,0.0003,10.749,0.28,0.211,0.012,0.0,0.0,11.77,0.18,0.1406,0.0013,4650.0,60.0,0.7,0.015,0.73,0.02,-0.29,0.05,4.61,0.01,2.5,2.0,0.5,0.4,0.00027596231327093533,1.7420717622778373e-05
1,2,2.91625,1.5e-05,0.03951105735295621,0.0018754518379899823,14.258,0.729,0.851,0.038,0.0133,0.0041,5.8928,0.25045,0.08389,0.00081,5653.0,90.0,0.9797227036395147,0.06239168110918544,0.9673708083335217,0.13775313625999697,0.05,0.08,4.463564383505658,0.8527595142731489,2.4,0.8,1.66,0.37,0.0008398984191691249,0.00012534353195577807
2,1,4.62767,5e-06,0.07521331040957194,0.006906379446626015,15.917,1.345,3.44,0.63,0.11,0.01,8.9,0.36,0.08017746849959011,0.009464015803199473,6600.0,90.0,1.82,0.15,2.65,0.73,0.11,0.11,4.25,0.03,2.4,0.8,7.5,0.6,0.001239375053359515,0.0004099779723933175
1,1,10.8635,2.7e-05,0.09600289671142943,0.007360222082928502,11.882,0.785,1.94,0.3,0.19,0.02,19.25,0.77,0.10180480629339911,0.009465442909053566,5568.0,90.0,1.07,0.07,1.0,0.23,0.22,0.22,4.38,0.03,2.4,0.8,7.5,0.6,0.0018522171945701358,0.0005133458449995331
3,1,2.77596,3e-06,0.0413,0.0004,14.448,0.74,4.193,0.094,0.036,0.004,7.17,0.28,0.1071,0.0014,6158.0,80.0,1.24,0.05,1.22,0.04,0.17,0.08,4.34,0.03,2.0,0.8,3.5,0.5,0.0032813700764038277,0.0001303311595468945
1,2,10.33852,9e-06,0.09257388100268586,0.004675448535797865,11.769,0.448,0.58,0.06,0.35,0.01,22.72,0.68,0.12401745698948714,0.007402620605261367,5246.0,80.0,0.87,0.04,0.99,0.15,0.0,0.0,4.53,0.02,2.4,0.8,7.5,0.6,0.0005593491475844417,0.0001026194375145213
1,1,5.508023,6e-06,0.0559,0.0007,11.153,0.583,0.197,0.013,0.084,0.048,16.04,0.75,0.1365,0.0015,4803.0,80.0,0.75,0.04,0.77,0.03,0.1,0.08,4.57,0.04,12.4,5.4,0.5,0.5,0.0002442674972086737,1.8718960468049887e-05
1,1,2.875317,4e-06,0.0361,0.0005,9.718,0.37,7.246,0.187,0.015,0.005,11.17,0.29,0.1284,0.0016,4595.0,80.0,0.69,0.02,0.76,0.03,0.35,0.08,4.63,0.02,6.7,4.75,2.1,0.5,0.009102798285306026,0.00042930003505592694
1,1,4.12448,7e-06,0.05407848559670231,0.008722336386779501,12.442,1.793,4.87,1.57,0.23,0.02,9.65,0.74,0.09426866097170696,0.018972700020630947,5588.0,80.0,1.21,0.17,1.24,0.6,0.01,0.01,4.33,0.06,2.4,0.8,7.5,0.6,0.003749708071814334,0.0021801939812494363
2,1,3.21222,9e-06,0.044381382560222504,0.002880207718965551,12.89,2.13,2.47,0.32,0.02,0.01,8.58,0.39,0.10646146793624153,0.01823407419810032,5302.0,80.0,1.11,0.05,1.13,0.22,0.24,0.24,4.36,0.04,2.4,0.8,7.5,0.6,0.002086933888599688,0.00048804236661456016
1,1,1.212884,2e-06,0.0232,0.0002,15.334,1.009,2.09,0.111,0.106,0.044,4.14,0.23,0.1169,0.0012,5905.0,80.0,1.2,0.07,1.13,0.04,0.15,0.04,4.33,0.05,4.0,1.0,8.1,0.5,0.0017658671365074281,0.00011270759397677772
2,1,3.35524,7e-06,0.04871848123116391,0.008179015097483385,14.572,2.354,0.75,0.25,0.07,0.02,7.61,0.41,0.0968060695827162,0.021971111132713612,6373.0,80.0,1.38,0.22,1.37,0.69,-0.16,0.16,4.27,0.04,2.4,0.8,7.5,0.6,0.0005226739769461967,0.0003156769376640413
2,1,3.039577,5.5e-06,0.04,0.0008,11.43,0.7250000000000001,0.62,0.03,0.0,0.0,9.804,0.34,0.12,0.008,5316.0,104.7,0.86,0.045,0.92,0.11,0.3,0.03,4.53,0.07500000000000001,2.4,0.8,7.5,0.6,0.0006434192406059413,8.29914859180936e-05
2,1,5.72319,4.9e-05,0.07087927525379997,0.0097764517675155,13.115,1.457,0.88,0.25,0.09,0.05,11.74,1.02,0.09248843997744385,0.014310190621936978,6087.0,88.0,1.3,0.14,1.45,0.6,0.21,0.21,4.34,0.06,2.4,0.8,7.5,0.6,0.0005794351692931815,0.0002908351165564029
2,1,2.8106,5e-06,0.04511085780372032,0.004947642469084394,16.141,1.681,0.83,0.18,0.04,0.02,7.43,0.34,0.11295921182136284,0.01624965852867389,6304.0,88.0,1.31,0.13,1.55,0.51,0.13,0.13,4.36,0.3,2.4,0.8,7.5,0.6,0.0005112538315574369,0.00020147145895954693
2,1,2.1500082,1.3e-07,0.03397,0.000505,22.194,0.504,0.68,0.10500000000000001,0.159,0.0395,5.344,0.0395,0.14886,0.0005499999999999999,6001.0,88.0,1.37,0.03,1.13,0.05,-0.16,0.08,4.22,0.04,2.4,0.8,7.5,0.6,0.0005745405037440437,9.228640748604896e-05
2,1,3.47447,1e-06,0.05481768171390019,0.014557809246369234,20.737,5.492,0.92,0.5,0.0,0.0,6.57,0.18,0.10620755430606044,0.0400288964752417,6446.0,88.0,1.79,0.48,1.82,1.45,0.05,0.05,4.15,0.01,2.4,0.8,7.5,0.6,0.0004826214509472428,0.00046544948612607364
1,1,5.452654,1.6e-05,0.06774,0.00075,13.417,1.244,3.33,0.20500000000000002,0.432,0.028,9.520578793541278,0.7541154087197596,0.08039452998390674,0.009763267284337183,6442.0,88.0,1.53,0.12000000000000001,1.39,0.05,0.22,0.04,3.729479329445407,0.6002011541576436,1.7,0.45,24.0,0.5,0.0022872814870275727,0.00016308420856250185
1,1,1.32734683,4.8e-07,0.0241,0.00047,14.314,0.224,1.8482,0.087,0.010685061461662216,0.010685061461662216,4.95,0.042,0.1199,0.0002,5620.0,40.0,1.04,0.01,1.03,0.03,0.05,0.08,4.37139579839861,0.1525710322582627,2.4,0.8,7.5,0.6,0.0017131757676931865,9.483302092071001e-05
2,1,2.69405,4e-06,0.051838796987268225,0.012824702379765358,22.978,5.604,1.19,0.6,0.0,0.0,5.45,0.18,0.10275923810725819,0.035443524075166315,6390.0,100.0,2.05,0.5,2.56,1.9,0.21,0.21,4.14,0.02,2.4,0.8,7.5,0.6,0.0004438100961538461,0.00039820961224829737
1,1,2.69155,6e-06,0.04940343173765376,0.0061568841359111275,17.822,2.018,2.2,0.59,0.0,0.0,5.15,0.31,0.0793143428913534,0.012612490304593464,6820.0,52.0,2.06,0.23,2.22,0.83,0.07,0.07,4.1,0.04,2.4,0.8,7.5,0.6,0.0009461497696791816,0.0004353349745116971
1,1,2.79083,5e-06,0.04360699848797528,0.003378006925526371,16.926,1.233,2.31,0.44,0.010685061461662216,0.010685061461662216,6.37,0.11,0.10556003203351197,0.011023890686095193,6566.0,50.0,1.47,0.11,1.42,0.33,0.0,0.0,3.39,0.19,2.4,0.8,7.5,0.6,0.0015531514881142057,0.00046669119221041727
2,1,4.8101025,3.8e-07,0.06505,0.0017599999999999998,23.371,0.936,0.34,0.22,0.0,0.0,5.691,0.0905,0.0834,0.0017,6406.0,63.0,2.55,0.09,1.64,0.11,-0.08,0.05,3.85,0.015,1.24,0.245,35.8,1.1,0.00019793621013133213,0.00012876262892101565
1,1,4.7869491,1.95e-06,0.06555,0.000525,18.786,0.471,3.58,0.58,0.0,0.0,7.32,0.16999999999999998,0.08703,0.0007750000000000001,7394.0,480.0,1.93,0.045,1.65,0.045,-0.069,0.0665,4.11,0.045,1.27,0.36,77.44,0.56,0.002071520636226519,0.00034033149836862727
1,1,2.74432452,7.35e-07,0.04739,0.000685,20.961,1.401,6.78,6.78,0.0,0.0,5.45,0.39,0.09887,0.00114,8450.0,615.0,1.86,0.105,1.89,0.01,-0.059,0.08149999999999999,4.18,0.06,0.6,0.29000000000000004,99.85,0.625,0.003424980248509661,0.003425028188884769
1,1,1.35413379,8e-08,0.02317,0.00044,12.576,0.269,1.37,0.16,0.010685061461662216,0.010685061461662216,5.661779502659193,0.16768350155539732,0.13101540632717865,0.004088979808957697,5227.0,95.0,0.88,0.02,0.9,0.05,0.05,0.08,4.51,0.01,7.2,6.4,7.5,0.6,0.0014533433886375062,0.0001879591182599313
1,1,3.547851,5e-06,0.0485,0.0005,15.48,0.392,1.071,0.136,0.0,0.0,7.42,0.12,0.1011,0.0006,6351.0,76.0,1.4,0.03,1.21,0.04,-0.157,0.07,4.22,0.01,3.2,0.5,9.12,1.31,0.0008450731087094723,0.00011088760049440326
1,1,2.7667641,2.7e-06,0.03815,0.00032,11.646,0.303,1.071,0.07,0.142,0.142,8.8,0.16999999999999998,0.1145,0.0012,5346.0,60.0,0.93,0.015,0.97,0.02,0.33,0.06,4.48,0.02,4.9,1.7,3.8,1.2,0.001054163362410785,7.224662387204132e-05
1,1,1.8882378,1.5e-06,0.03632,0.0008049999999999999,15.513,0.8574999999999999,12.9,1.7000000000000002,0.18,0.18,4.17,0.14500000000000002,0.074,0.0028,7930.0,725.0,1.88,0.065,1.78,0.12,0.041,0.101,4.17,0.04,0.81,0.41500000000000004,40.61,0.33499999999999996,0.006919263816157405,0.0010242292817615965
1,4,0.959641,1.1e-05,0.01796,0.00034,1.67,0.135,0.01564,0.00074,0.0,0.0,4.388673278712089,0.09690061305879263,0.01739787917989729,0.0014202432092460938,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,4.616946029081652,0.26867400516144885,7.8,4.3,7.5,0.6,1.7776556776556782e-05,1.2705659186751625e-06
1,4,29.8454,0.0012,0.1776,0.0034000000000000002,3.0,0.33,0.03502,0.0023899999999999998,0.06,0.06,43.398016386373435,0.966159626793887,0.031253675173468186,0.0034562003878976415,5261.0,60.0,0.88,0.01,0.84,0.045,0.04,0.05,4.616946029081652,0.26867400516144885,7.8,4.3,7.5,0.6,3.980402930402931e-05,3.4534468154912418e-06
1,1,21.21663,0.00045,0.16820095767312204,0.004771658966422431,12.33,0.336,3.51,0.21,0.68,0.0,23.34,0.43,0.07292793055961273,0.0027370510062846762,6040.0,24.0,1.55,0.04,1.41,0.12,0.19,0.19,4.2,0.06,2.4,0.8,7.5,0.6,0.002376720901126408,0.00024725452388477706
1,3,7.1079384,6.6e-06,0.072,0.001,2.164,0.053000000000000005,0.11736,0.0302,0.0,0.0,16.82884301704258,0.2968031066383115,0.02163,0.00043,5634.0,63.5,0.92,0.01,0.99,0.025,0.079,0.0535,4.51,0.015,1.5,1.3,7.5,0.6,0.00011318140682846566,2.9264634161825984e-05
2,1,111.4367,0.0004,0.47484944356527736,0.03716213038335073,11.994,0.336,4.38,0.74,0.93,0.0,98.38,7.32,0.10572877898298338,0.0035926120619154274,5561.0,24.0,1.04,0.02,1.15,0.27,0.35,0.35,4.42,0.02,2.4,0.8,7.5,0.6,0.0036363564823922883,0.0010518245116324986
1,2,21.05704,0.00046,0.1536,0.0017,4.35,0.23,0.04782,0.01164,0.22,0.15,25.5,1.2,0.03086,0.001,6327.0,48.0,1.3,0.06,1.09,0.04,-0.311,0.079,4.25,0.04,4.48,0.96,12.71,0.4,4.188642118809415e-05,1.0310908848976956e-05
3,6,13.673694,2.4e-05,0.1039,0.0013,2.388,0.036,0.01982,0.01982,0.20500000000000002,0.0925482657157258,28.37,0.3,0.0278,0.0003,5266.0,64.0,0.79,0.01,0.8,0.04,-0.2,0.04,4.54,0.03,8.1,4.0,2.5,1.0,2.3653959276018102e-05,2.368350826852098e-05
1,1,2.87589,2e-06,0.04448860486242028,0.0034463003767280834,8.295,0.224,0.38,0.06,0.0,0.0,6.8,0.52,0.053933647114952334,0.0018541893655369044,6179.0,15.0,1.41,0.03,1.42,0.33,0.32,0.32,4.37,0.04,2.4,0.8,7.5,0.6,0.0002554967815945447,7.178408828716851e-05
2,1,2.21857567,1.5e-07,0.030777241044517692,0.001038894212474097,12.666,0.112,1.13,0.08,0.0,0.0,8.84,0.27,0.15482487278999568,0.0024770471687688986,5052.0,16.0,0.75,0.01,0.79,0.08,-0.02,0.02,4.49,0.05,2.4,0.8,7.5,0.6,0.0013656566813677758,0.00016873961133991828
1,1,3.52474859,3.8e-07,0.04856890276209718,0.001184607384446538,15.581,0.224,0.73,0.04,0.0,0.0,8.81,0.19,0.12003582390265291,0.00265479849379543,6091.0,10.0,1.19,0.02,1.23,0.09,0.01,0.01,4.45,0.02,2.4,0.8,7.5,0.6,0.0005666409152779311,5.1798528513583674e-05
1,1,18.712024,2.3e-05,0.145,0.003,9.073,0.181,0.23314,0.017305,0.0,0.0,24.551264856446632,0.6383623127138673,0.0657,0.00053,6128.0,83.5,1.27,0.02,1.16,0.03,0.043,0.062,4.3,0.02,2.9,0.8500000000000001,7.5,0.6,0.00019188851614916524,1.5082869574839756e-05
1,2,6.9594731,2.2e-06,0.0748,0.0017000000000000001,9.987,0.22949999999999998,0.23017562942720624,0.005289406924356046,0.064,0.118,11.66,0.255,0.06644,0.00145,5675.0,75.0,1.38,0.06,1.22,0.05,0.05,0.08,3.879192832336522,0.3729091430241101,0.017,0.002,54.2,0.7,0.00018013151030762007,8.463748108259865e-06
1,1,3.48456408,5.5e-07,0.0287,0.0012,3.44,0.12,0.07709,0.017145,0.428,0.0495,21.09,0.58,0.1075,0.0018,3207.0,58.0,0.29,0.01,0.26,0.01,0.15,0.03,4.94,0.03,0.73,0.051000000000000004,8.8,0.6,0.00028308371040723987,6.389301037758648e-05
2,1,3.2588321,1.9e-06,0.04217,0.00024,13.339,0.224,0.73,0.04,0.066,0.022,10.51,0.15,0.14188,0.00062,5358.0,38.0,0.86,0.01,0.94,0.02,0.16,0.03,4.54,0.01,2.6,1.2,3.7,0.5,0.0007414556657360162,4.3583045379054734e-05
1,1,5.424865,3.3e-05,0.049807314234587736,0.002668248984498265,5.04,0.355,3.7,3.7,0.0,0.0,10.4,0.385,0.0432,0.0007999999999999999,3540.0,70.0,1.05,0.07,0.56,0.09,0.05,0.08,4.087607698667337,0.8535846828245145,0.009,0.001,8.2,1.8,0.006308177117000647,0.006389124958086378
1,1,2.9956348,2e-07,0.0442,0.002,13.75,0.585,1.236,0.13,0.010685061461662216,0.010685061461662216,6.68,0.1,0.0887,0.0005,6168.0,61.0,1.42,0.055,1.16,0.04,0.01,0.035,4.2,0.03,2.4,0.8,7.5,0.6,0.0010173037915431424,0.00011260165679980168
1,5,1114.0,1114.0,2.216272916514736,1.4781762286127291,13.675,0.56,1.236,0.13,0.20500000000000002,0.0925482657157258,355.6542731690883,237.34251401143837,0.0256,0.0006000000000000001,6226.0,43.0,1.34,0.03,1.17,0.07,0.05,0.08,3.9198466338205216,0.2929260572204718,2.4,0.8,7.5,0.6,0.0010086088873419192,0.00012204553770622777
1,1,8.2669928,6.8500000000000005e-06,0.0833,0.00775,3.59,0.09,0.05011778208911993,0.0012564346484737587,0.010685061461662216,0.010685061461662216,18.48,1.71,0.0339,0.00075,5636.0,50.5,0.97,0.01,1.05,0.02,0.23,0.035,4.49,0.01,2.4,0.8,7.5,0.6,4.557143727991513e-05,1.434811861168952e-06
1,1,6.569188,3.1e-05,0.068,0.001,13.563,1.009,0.93,0.04,0.0,0.0,14.1,0.2,0.117,0.001,5585.0,120.0,1.06,0.065,0.96,0.05,0.1,0.1,4.4,0.2,9.8,4.0,3.6,1.0,0.0009249151583710409,6.24752527531246e-05
1,1,11.168454,2.3e-05,0.10356,0.0007899999999999999,11.209,0.2355,0.398,0.037,0.258,0.025,19.25,0.29000000000000004,0.08868,0.00043000000000000004,6154.0,60.0,1.16,0.02,1.19,0.03,0.1,0.04,4.38,0.02,1.43,0.7849999999999999,4.16,0.282,0.0003193201262405415,3.07576844401535e-05
1,1,11.8143,0.0002,0.1066,0.0013,7.398,0.325,0.11,0.0175,0.22,0.1125,13.11,0.37,0.0389,0.00115,5576.0,74.5,1.75,0.05,1.16,0.04,0.421,0.05,4.02,0.03,7.53,1.145,7.5,0.6,9.053674520205961e-05,1.4738030122352775e-05
2,1,6.180235,1.4e-05,0.07229,0.000745,11.781,0.493,3.0,1.15,0.010685061461662216,0.010685061461662216,9.8,0.17,0.0681,0.00255,6202.0,51.0,1.59,0.03,1.32,0.04,0.141,0.0835,4.16,0.02,3.02,0.45,74.92,0.61,0.0021698889345948165,0.0008343856912004305
